id,name,age,city,score
1,user_1,29,daegu,68
2,user_2,53,daejeon,23
3,user_3,28,seoul,86
4,user_4,44,incheon,100
5,user_5,48,busan,83
6,user_6,48,busan,48
7,user_7,30,incheon,43
8,user_8,37,daejeon,24
9,user_9,28,incheon,31
10,user_10,40,seoul,70
11,user_11,19,daejeon,11
12,user_12,64,seoul,13
13,user_13,46,daejeon,17
14,user_14,68,daegu,34
15,user_15,23,daegu,44
16,user_16,25,daejeon,36
17,user_17,62,daejeon,24
18,user_18,46,seoul,34
19,user_19,67,seoul,77
20,user_20,29,busan,38
21,user_21,53,daegu,93
22,user_22,26,busan,45
23,user_23,66,busan,49
24,user_24,56,daegu,17
25,user_25,46,incheon,89
26,user_26,46,daegu,83
27,user_27,35,incheon,68
28,user_28,51,busan,91
29,user_29,58,seoul,96
30,user_30,43,incheon,58
31,user_31,58,daegu,23
32,user_32,36,incheon,33
33,user_33,20,daegu,21
34,user_34,57,busan,3
35,user_35,19,daejeon,20
36,user_36,59,daegu,93
37,user_37,69,seoul,24
38,user_38,21,daejeon,3
39,user_39,31,busan,3
40,user_40,47,busan,51
41,user_41,27,daejeon,56
42,user_42,41,incheon,0
43,user_43,35,incheon,92
44,user_44,40,busan,13
45,user_45,22,busan,99
46,user_46,36,seoul,98
47,user_47,43,daejeon,46
48,user_48,36,busan,29
49,user_49,21,busan,61
50,user_50,36,seoul,43
51,user_51,56,incheon,45
52,user_52,28,seoul,32
53,user_53,34,daegu,64
54,user_54,29,busan,63
55,user_55,53,daegu,18
56,user_56,55,daejeon,16
57,user_57,67,seoul,69
58,user_58,23,daegu,98
59,user_59,27,busan,83
60,user_60,49,seoul,0
61,user_61,37,incheon,85
62,user_62,47,incheon,10
63,user_63,19,busan,100
64,user_64,61,busan,79
65,user_65,36,daejeon,4
66,user_66,24,seoul,39
67,user_67,37,incheon,86
68,user_68,27,incheon,100
69,user_69,53,daegu,20
70,user_70,27,seoul,52
71,user_71,69,incheon,79
72,user_72,19,daegu,8
73,user_73,52,daejeon,36
74,user_74,61,daegu,32
75,user_75,23,busan,29
76,user_76,63,daegu,73
77,user_77,55,daejeon,58
78,user_78,21,incheon,54
79,user_79,67,busan,61
80,user_80,34,daejeon,75
81,user_81,35,daejeon,6
82,user_82,42,daejeon,23
83,user_83,62,daejeon,76
84,user_84,59,seoul,74
85,user_85,35,seoul,15
86,user_86,56,daejeon,54
87,user_87,58,seoul,28
88,user_88,41,busan,8
89,user_89,59,incheon,47
90,user_90,43,incheon,76
91,user_91,30,busan,36
92,user_92,65,daejeon,30
93,user_93,63,seoul,21
94,user_94,44,daegu,33
95,user_95,26,daegu,56
96,user_96,54,incheon,70
97,user_97,50,daegu,37
98,user_98,57,daegu,77
99,user_99,63,daegu,2
100,user_100,45,incheon,78
101,user_101,53,daegu,22
102,user_102,31,busan,100
103,user_103,41,seoul,82
104,user_104,53,incheon,25
105,user_105,35,incheon,51
106,user_106,31,busan,60
107,user_107,21,seoul,97
108,user_108,33,busan,7
109,user_109,56,daegu,44
110,user_110,68,daejeon,35
111,user_111,21,busan,15
112,user_112,31,daegu,47
113,user_113,35,seoul,87
114,user_114,52,daegu,48
115,user_115,47,seoul,75
116,user_116,33,daegu,35
117,user_117,62,busan,0
118,user_118,57,incheon,38
119,user_119,21,seoul,85
120,user_120,37,busan,49
121,user_121,26,busan,64
122,user_122,21,daejeon,11
123,user_123,38,busan,88
124,user_124,56,seoul,12
125,user_125,26,daejeon,36
126,user_126,51,seoul,40
127,user_127,43,busan,50
128,user_128,45,incheon,10
129,user_129,25,busan,10
130,user_130,56,busan,30
131,user_131,65,daejeon,35
132,user_132,38,daegu,36
133,user_133,25,incheon,44
134,user_134,69,daegu,5
135,user_135,37,daejeon,35
136,user_136,33,incheon,44
137,user_137,39,incheon,76
138,user_138,58,daegu,8
139,user_139,38,seoul,57
140,user_140,40,seoul,38
141,user_141,34,daejeon,53
142,user_142,44,busan,98
143,user_143,46,seoul,11
144,user_144,69,incheon,24
145,user_145,20,seoul,9
146,user_146,37,incheon,13
147,user_147,60,daegu,39
148,user_148,68,incheon,36
149,user_149,25,seoul,23
150,user_150,42,daejeon,19
151,user_151,23,busan,52
152,user_152,41,incheon,67
153,user_153,53,daejeon,58
154,user_154,24,seoul,83
155,user_155,37,seoul,4
156,user_156,37,incheon,86
157,user_157,34,seoul,83
158,user_158,38,busan,26
159,user_159,41,seoul,63
160,user_160,53,daegu,20
161,user_161,47,incheon,91
162,user_162,47,daegu,47
163,user_163,51,daegu,4
164,user_164,45,seoul,22
165,user_165,30,seoul,33
166,user_166,50,daejeon,79
167,user_167,66,seoul,60
168,user_168,57,incheon,38
169,user_169,23,seoul,47
170,user_170,58,daegu,4
171,user_171,48,daegu,33
172,user_172,42,daejeon,91
173,user_173,21,incheon,46
174,user_174,37,seoul,23
175,user_175,60,incheon,82
176,user_176,33,daegu,55
177,user_177,35,seoul,86
178,user_178,36,busan,31
179,user_179,66,daegu,14
180,user_180,55,busan,89
181,user_181,47,daejeon,50
182,user_182,20,seoul,15
183,user_183,28,busan,81
184,user_184,39,busan,20
185,user_185,37,incheon,89
186,user_186,51,busan,89
187,user_187,57,busan,23
188,user_188,37,seoul,79
189,user_189,21,daejeon,91
190,user_190,43,daejeon,99
191,user_191,20,daegu,58
192,user_192,26,seoul,44
193,user_193,49,daejeon,50
194,user_194,43,daejeon,95
195,user_195,63,daejeon,27
196,user_196,42,seoul,8
197,user_197,68,daegu,15
198,user_198,20,daegu,28
199,user_199,36,daegu,61
200,user_200,57,incheon,99
201,user_201,58,busan,82
202,user_202,39,busan,84
203,user_203,59,busan,65
204,user_204,29,seoul,63
205,user_205,63,seoul,14
206,user_206,18,daegu,0
207,user_207,25,busan,26
208,user_208,27,daejeon,55
209,user_209,21,seoul,97
210,user_210,40,incheon,87
211,user_211,36,daegu,30
212,user_212,30,daejeon,85
213,user_213,52,seoul,67
214,user_214,36,seoul,41
215,user_215,51,seoul,33
216,user_216,63,busan,62
217,user_217,37,busan,92
218,user_218,53,daejeon,83
219,user_219,50,seoul,91
220,user_220,50,seoul,7
221,user_221,56,daegu,63
222,user_222,39,incheon,7
223,user_223,63,seoul,8
224,user_224,38,daegu,41
225,user_225,55,daejeon,38
226,user_226,64,incheon,85
227,user_227,24,daegu,49
228,user_228,18,busan,13
229,user_229,32,seoul,44
230,user_230,59,daejeon,55
231,user_231,32,daejeon,50
232,user_232,58,daejeon,59
233,user_233,42,incheon,24
234,user_234,39,daejeon,88
235,user_235,36,seoul,67
236,user_236,24,daejeon,37
237,user_237,32,busan,73
238,user_238,39,incheon,40
239,user_239,18,incheon,40
240,user_240,41,daejeon,13
241,user_241,36,seoul,13
242,user_242,44,daejeon,52
243,user_243,55,daejeon,21
244,user_244,19,daejeon,82
245,user_245,52,daegu,20
246,user_246,22,seoul,44
247,user_247,43,daegu,27
248,user_248,37,incheon,33
249,user_249,42,seoul,81
250,user_250,19,seoul,97
251,user_251,54,seoul,56
252,user_252,58,daegu,90
253,user_253,66,daegu,92
254,user_254,41,seoul,58
255,user_255,32,busan,46
256,user_256,38,busan,84
257,user_257,43,busan,48
258,user_258,65,seoul,79
259,user_259,23,daegu,26
260,user_260,27,daejeon,94
261,user_261,57,daegu,60
262,user_262,66,daejeon,61
